query_id,video_id,strategy,category,reference_answer,answer,is_correct,cache_read_ms_median,prompt_build_ms_median,tokenize_ms_median,llm_gen_ms,end_to_end_ms_median,prompt_tokens,detections_reused
synth_v000:t7:presence,synth_v000,none,presence,bicycle,bicycle,True,0.006500,0.002792,0.386750,4216.445583,4216.841625,66,False
synth_v000:t7:presence,synth_v000,parquet,presence,bicycle,bicycle,True,3.655833,0.002791,0.362792,2891.068709,2895.090125,66,True
synth_v000:t7:presence,synth_v000,zpe_packet,presence,bicycle,bicycle,True,0.174583,0.002166,0.287125,2794.054792,2794.518666,66,True
synth_v000:t7:count,synth_v000,none,count,2,"To determine how many objects are visible at time \(t = 7\), we need to consider the visibility of each",False,0.005666,0.002375,0.273041,8217.611083,8217.892165,56,False
synth_v000:t7:count,synth_v000,parquet,count,2,"To determine how many objects are visible at time \(t = 7\), we need to consider the visibility of each",False,3.170000,0.003084,0.313042,9056.662792,9060.148918,56,True
synth_v000:t7:count,synth_v000,zpe_packet,count,2,"To determine how many objects are visible at time \(t = 7\), we need to consider the visibility of each",False,0.188042,0.002333,0.276959,9606.015042,9606.482376,56,True
synth_v000:t7:class,synth_v000,none,class,yes,No,False,0.007083,0.002958,0.348541,1589.251334,1589.609916,58,False
synth_v000:t7:class,synth_v000,parquet,class,yes,No,False,3.791833,0.002625,0.350042,1564.309542,1568.454042,58,True
synth_v000:t7:class,synth_v000,zpe_packet,class,yes,No,False,0.210375,0.002542,0.313750,1664.280875,1664.807542,58,True
synth_v001:t8:presence,synth_v001,none,presence,"backpack, cat, dog","cat,dog",False,0.005958,0.003792,0.420708,2356.074416,2356.504874,81,False
synth_v001:t8:presence,synth_v001,parquet,presence,"backpack, cat, dog","cat,dog",False,3.894667,0.003583,0.416500,2205.735917,2210.050667,81,True
synth_v001:t8:presence,synth_v001,zpe_packet,presence,"backpack, cat, dog","cat,dog",False,0.185625,0.003666,0.426167,2232.584666,2233.200124,81,True
synth_v001:t8:count,synth_v001,none,count,3,"To determine how many objects are visible at time \(t = 8\), we need to consider the visibility of each",False,0.005916,0.003625,0.406791,6391.694916,6392.111248,71,False
synth_v001:t8:count,synth_v001,parquet,count,3,"To determine how many objects are visible at time \(t = 8\), we need to consider the visibility of each",False,4.255834,0.004250,0.409750,6325.531625,6330.201459,71,True
synth_v001:t8:count,synth_v001,zpe_packet,count,3,"To determine how many objects are visible at time \(t = 8\), we need to consider the visibility of each",False,0.184541,0.003625,0.357209,6274.404958,6274.950333,71,True
synth_v001:t8:class,synth_v001,none,class,yes,No,False,0.007208,0.004083,0.407750,1876.251250,1876.670291,73,False
synth_v001:t8:class,synth_v001,parquet,class,yes,No,False,5.103833,0.006583,0.425208,1884.268167,1889.803791,73,True
synth_v001:t8:class,synth_v001,zpe_packet,class,yes,No,False,0.206833,0.004333,0.363834,1895.945750,1896.520750,73,True
synth_v002:t7:presence,synth_v002,none,presence,"backpack, cat",cat,False,0.010792,0.004542,0.529458,2126.871541,2127.416333,96,False
synth_v002:t7:presence,synth_v002,parquet,presence,"backpack, cat",cat,False,4.626625,0.005000,0.487667,2131.076542,2136.195834,96,True
